id,name,profile_name_searchable,mbti,enneagram,personality_type,instinctual_variant,tritype,socionics,temperament,attitudinal_psyche,sloan,alignment,classic_jungian,big5_extraversion,big5_neuroticism,big5_conscientiousness,big5_agreeableness,big5_openness,functions,property_id,cat_id,category,sub_cat_id,subcategory,category_is_fictional,vote_count,vote_count_mbti,vote_count_enneagram,total_vote_counts,comment_count,watch_count,contributor,contributor_create_date,type_updated_date,is_active,is_approved,allow_voting,allow_commenting,profile_image_url,wiki_description,source_file,source_index,length_of_description
7,Chandler Bing,chandlerbing,ENTP 6w7,6w7,ENTP - 6w7 - so/sp - 639 - EN(T) - ILE - FLEV - Melancholic-Sanguine - Neuroticism 75% - Agreeableness 75% - Conscientiousness 50% - Openness 75% - SLUAI - Neutral Good,so/sp,639,ILE,Melancholic-Sanguine,FLEV,SLUAI,Neutral Good,EN(T),Extraversion 75%,Neuroticism 75%,Conscientiousness 50%,Agreeableness 75%,Openness 50%,"Ne, Ti, Fe, Si",2,2,Television,2,Friends (1994),TRUE,2435,2435,889,4479,1019,44805,the nameless,#######,#######,TRUE,TRUE,TRUE,TRUE,https://static1.personalitydatabase.net/2/pdb-images-prod/fff0f0f1/profile_images/23067013143e4b7f9544fd3c5188dd1e.png,"The group's deadpan snarker. A friend of Ross' from college, the friends never quite understand the nature of his job in the business world, which he hates, but it's led him to be generally the most financially successful of the group, to the point that he essentially supports Joey in the early years. His dad runs an all-male burlesque called ""Viva Las Gaygas"". His mom is a world-famous erotic romance novelist. Neither fact sits well with him and has led to a severe fear of commitment and a lifetime of over-compensating for his insecurities with a a sharp, acerbic sense of humor. Originally best defined through his heterosexual life-partners relationship with Joey, he eventually falls in love with Monica, and they build a rare stable relationship within the gang.",pdb_v9_dump_part1.json,106,773
37,Luke Skywalker,lukeskywalker,INFP 9w1,9w1,INFP - 9w1 - sp/so - 926 - EN(F) - IEE - ELFV - Phlegmatic-Sanguine - Extraversion 50% - Neuroticism 50% - Agreeableness 75% - Conscientiousness 50% - Openness 75% - RCUAI - Neutral Good,sp/so,926,IEE,Phlegmatic-Sanguine,ELFV,RCUAI,Neutral Good,EN(F),Extraversion 50%,Neuroticism 50%,Conscientiousness 50%,Agreeableness 75%,Openness 75%,"Fi, Ne, Si, Te",2,3,Movies,14,Star Wars,TRUE,1718,1718,757,3548,493,67143,the nameless,#######,#######,TRUE,TRUE,TRUE,TRUE,https://static1.personalitydatabase.net/2/pdb-images-prod/afe2469a/profile_images/667084f0851f418cbb6633069fac7085.png,"Luke Skywalker is a fictional character and the main protagonist of the original film trilogy of the Star Wars franchise created by George Lucas. The character, portrayed by Mark Hamill, is an important figure in the Rebel Alliance's struggle against the Galactic Empire. He is the twin brother of Rebellion leader Princess Leia Organa of Alderaan, a friend and brother-in-law of smuggler Han Solo, an apprentice to Jedi Masters Obi-Wan ""Ben"" Kenobi and Yoda, the son of fallen Jedi Anakin Skywalker (Darth Vader) and Queen of Naboo/Republic Senator Padmé Amidala and maternal uncle of Kylo Ren/Ben Solo.",pdb_v9_dump_part1.json,118,604
890,Hiccup Horrendous Haddock III,hiccuphorrendoushaddockiii,INTP 5w4,5w4,INTP - 5w4 - sp/so - 592 - IT(N) - LII - LEVF - Phlegmatic [Dominant] - Extraversion 50% - Neuroticism 50% - Agreeableness 75% - Conscientiousness 50% - Openness 100% - RCUAI - Neutral Good,sp/so,592,LII,Phlegmatic [Dominant],LEVF,RCUAI,Neutral Good,IT(N),Extraversion 50%,Neuroticism 50%,Conscientiousness 50%,Agreeableness 75%,Openness 100%,"Ti, Ne, Si, Fe",2,3,Movies,103,How to Train Your Dragon (Franchise),TRUE,1719,1719,816,3544,448,20166,Cassie,#######,#######,TRUE,TRUE,TRUE,TRUE,https://static1.personalitydatabase.net/2/pdb-images-prod/b4f5f60a/profile_images/670527f98b38481497c7334a0ffd19b6.png,"Hiccup Horrendous Haddock III is the main protagonist of the How to Train Your Dragon franchise. He is the son of Valka and the late Hooligan chief, Stoick the Vast, thus making him the heir, and later, the chief of the tribe. He is 15 years old in the first film, Dragons: Riders of Berk, and possibly 16 by the end of Dragons: Defenders of Berk, 18 to 20 years old in Dragons: Race to the Edge, 20 years old in How to Train Your Dragon 2, 21 years old in How to Train Your Dragon: The Hidden World, and 30 in the epilogue and Homecoming. His dragon and best friend, Toothless, is a Night Fury, the rarest and most intelligent of the dragon species. By the end of the franchise, he marries Astrid Hofferson and they eventually have a daughter, Zephyr, and a son, Nuffink.",pdb_v9_dump_part1.json,653,772
720,"Sirius ""Padfoot"" Black",siriusblack,ESTP 7w8,7w8,ESTP - 7w8 - sx/so - 783 - ES(F) - SEE - VFLE - Sanguine-Choleric - Extraversion 75% - Neuroticism 75% - Agreeableness 50% - Conscientiousness 25% - Openness 100% - SCUAN - Chaotic Good,sx/so,783,SEE,Sanguine-Choleric,VFLE,SCUAN,Chaotic Good,ES(F),Extraversion 75%,Neuroticism 75%,Conscientiousness 25%,Agreeableness 50%,Openness 100%,"Se, Ti, Fe, Ni",2,3,Movies,87,Harry Potter (Film Series),TRUE,3509,3509,695,3537,347,3648,Cameron Lusk,#######,#######,TRUE,TRUE,TRUE,TRUE,https://static1.personalitydatabase.net/2/pdb-images-prod/63af4c8d/profile_images/9005849abd7e4875885473b80d5c6565.png,"Sirius Black III (3 November, 1959–18 June, 1996), also known as Padfoot or Snuffles (in his Animagus form), was an English pure-blood wizard, the older son of Orion and Walburga Black, the brother of Regulus Black, and godfather of Harry Potter. Although he was the heir of the House of Black, Sirius disagreed with his family's belief in blood purity and defied tradition when he was Sorted into Gryffindor House instead of Slytherin at Hogwarts School of Witchcraft and Wizardry, which he attended from 1971 to 1978. As the rest of his family had been in Slytherin, he was the odd one out. Sirius was true to the ideal of a Gryffindor student. He was true-hearted and brave, as shown by his participation in both wars and willingness to die for those he loved. He was particularly loyal to his best friend, James Potter, a fellow Gryffindor. In his youth, he was a witty and talented wizard, but also quite an arrogant and mischievous troublemaker, and sometimes, a bully.",pdb_v9_dump_part1.json,471,975
2428,Damon Salvatore,damonsalvatore,ESTP 8w7,8w7,ESTP - 8w7 - sx/so - 873 - ES(F) - SEE - EFVL - Choleric-Sanguine - Extraversion 100% - Neuroticism 75% - Conscientiousness 25% - SLUEI - Chaotic Neutral,sx/so,873,SEE,Choleric-Sanguine,EFVL,SLUEI,Chaotic Neutral,ES(F),Extraversion 100%,Neuroticism 75%,Conscientiousness 25%,Agreeableness 25%,Openness 0%,"Se, Ti, Fe, Ni",2,2,Television,317,The Vampire Diaries (2009),TRUE,1424,1424,694,3361,739,25082,the nameless,#######,#######,TRUE,TRUE,TRUE,TRUE,https://static1.personalitydatabase.net/2/pdb-images-prod/ac97c4c8/profile_images/628f825725544a81997a91378c3004f7.png,"Damon Salvatore is one of the two main male protagonists of The Vampire Diaries. Damon was a 178-year-old vampire and distant descendant of Silas. He was a major antagonist in the first part of Season One. He was born during the 1800s and lived in the colonial town of Mystic Falls with his brother Stefan, his father, Giuseppe Salvatore, and also with his mother Lillian Salvatore until her death in 1858. He became a vampire in 1864. At the time of his return to Mystic Falls, Damon and Stefan hadn't seen each other in fifteen years due to their bitter and violent relationship. Portrayed by #IanSomerhalder",pdb_v9_dump_part3.json,98,610
826,Princess Ariel,ariel,ENFP 7w6,7w6,ENFP - 7w6 - sx/so - 749 - EN(F) - IEE - ELFV - Sanguine [Dominant] - Extraversion 75% - Neuroticism 75% - Agreeableness 50% - Conscientiousness 25% - Openness 100% - SCUAI - Chaotic Good,sx/so,749,IEE,Sanguine [Dominant],ELFV,SCUAI,Chaotic Good,EN(F),Extraversion 75%,Neuroticism 75%,Conscientiousness 25%,Agreeableness 50%,Openness 100%,"Ne, Fi, Te, Si",2,3,Movies,559,The Little Mermaid (1989),TRUE,1406,1406,645,3209,345,5230,the nameless,#######,#######,TRUE,TRUE,TRUE,TRUE,https://static1.personalitydatabase.net/2/pdb-images-prod/fdbc6869/profile_images/65ec201f7aff43ca954c1e915ec73a19.png,"Princess Ariel is the titular protagonist of Disney's 1989 animated feature film The Little Mermaid. She is the seventh and youngest daughter of King Triton and Queen Athena, rulers of the undersea kingdom of Atlantica. Ariel lived through much of her young life with a passionate - yet forbidden - admiration of the human world, and longed to someday experience life on the surface. Ariel is loosely based on the nameless protagonist of the Danish fairy tale ""The Little Mermaid"" by Hans Christian Andersen, but unlike the Andersen fairy tale in which the mermaid loses her prince, dies and gains an immortal soul, the Disney adaptation has a happy ending.",pdb_v9_dump_part2.json,161,657
9,Phoebe Buffay,phoebebuffay,ENFP 7w8,7w8,ENFP - 7w8 - sx/so - 749 - EN(F) - IEE - EVFL - Sanguine [Dominant] - Extraversion 100% - Openness 100% - SCUAI - Chaotic Good,sx/so,749,IEE,Sanguine [Dominant],EVFL,SCUAI,Chaotic Good,EN(F),Extraversion 100%,Neuroticism 25%,Conscientiousness 25%,Agreeableness 50%,Openness 100%,"Ne, Fi, Te, Si",2,2,Television,2,Friends (1994),TRUE,1554,1554,644,3161,317,4273,the nameless,#######,#######,TRUE,TRUE,TRUE,TRUE,https://static1.personalitydatabase.net/2/pdb-images-prod/54cd9777/profile_images/ea34028a13d04402b0c0e2aa5a022ca9.png,"Phoebe is the group's cloudcuckoolander granola girl who has a bit of a dark past: her biological mother left her and her sister with her biological father and adoptive mother, her biological father walked out on her, her adoptive mother died, her stepfather was sent to prison, and she spent some time on the street before finding a stable job (as a masseuse) and roommate (Monica), before eventually moving in with her grandmother. She plays the guitar (badly) and sings (badly) at Central Perk, and exhibits traits of The Pollyanna. Though a bit of a flake, she's a great deal more perceptive and savvy than she looks, due to having more life experience than the rest of the group combined.",pdb_v9_dump_part1.json,73,693
374,Petyr Baelish “Littlefinger”,petyrbaelish“littlefinger”,INTJ 3w4,3w4,INTJ - 3w4 - sp/sx - 358 - ET(N) - LIE - VLFE - Phlegmatic [Dominant] - Extraversion 75% - Neuroticism 25% - Agreeableness 25% - Conscientiousness 100% - SCOEI - Neutral Evil,sp/sx,358,LIE,Phlegmatic [Dominant],VLFE,SCOEI,Neutral Evil,ET(N),Extraversion 75%,Neuroticism 25%,Conscientiousness 100%,Agreeableness 25%,Openness 75%,"Ni, Te, Fi, Se",2,2,Television,48,Game of Thrones (2011),TRUE,1431,1431,550,2987,447,1593,Chris Reyes,#######,#######,TRUE,TRUE,TRUE,TRUE,https://static1.personalitydatabase.net/2/pdb-images-prod/785da6cb/profile_images/0abe26a0661e4164bd76ca0eab7c2677.png,"Petyr Baelish, nicknamed Littlefinger, was the Master of Coin in the small council of Kings Robert I and Joffrey I Baratheon, Lord of Harrenhal, and Warden of the Vale. He was a skilled manipulator and used his ownership of brothels in King's Landing to both accrue intelligence on political rivals and acquire vast wealth. Baelish's spy network is eclipsed only by that of his arch-rival Varys. Eager to gain power, he orchestrated a huge conflict in Westeros via multiple conspiracies and assassinations, which effectively began the War of the Five Kings that ultimately lead to the destruction of several major houses. He died at Winterfell after being condemned to death by Sansa Stark for his various crimes against humanity, his throat being slit open by Arya Stark.",pdb_v9_dump_part1.json,545,772
23913,Anton Chigurh,antonchigurh,INTP 8w9,8w9,INTP - 8w9 - sp/sx - 854 - IT(S) - LSI - LFVE - Phlegmatic-Choleric - Extraversion 25% - Neuroticism 0% - Agreeableness 0% - Conscientiousness 100% - Openness 50% - RCOEI - Neutral Evil,sp/sx,854,LSI,Phlegmatic-Choleric,LFVE,RCOEI,Neutral Evil,IT(S),Extraversion 25%,Neuroticism 0%,Conscientiousness 100%,Agreeableness 0%,Openness 50%,"Ti, Ne, Si, Fe",2,3,Movies,2558,No Country for Old Men (2007),TRUE,995,995,569,2932,1082,1577,marker058,#######,#######,TRUE,TRUE,TRUE,TRUE,https://static1.personalitydatabase.net/2/pdb-images-prod/a2796202/profile_images/6b31e57ec5e04fc19e8f025ca6826e9b.png,"Chigurh kills without compassion or remorse, but always with deliberation. He is described as having his own set of morals, however twisted they may be. While he does not kill at random or without purpose, his reasons are at times abstract. He sees himself as a hand of fate; an instrument who exacts what is supposed to happen upon those he sees accountable. He gives many of his victims he faces a chance to survive by making deals, either personally or by flipping coins in making decisions. He is depicted as having a great deal of pain endurance, such as being capable of withstanding pain from multiple shotgun blasts or from a fractured arm. Chigurh kills or tries to kill almost every person he meets in the film. He is the physical embodiment of Death.#CompleteMonster",pdb_v9_dump_part22.json,480,777
12585,Riley Andersen,rileyandersen,ISFP 6w7,6w7,ISFP - 6w7 - so/sx - 694 - IS(F) - SEI - FELV - Sanguine-Phlegmatic - Extraversion 75% - Neuroticism 75% - Agreeableness 75% - Conscientiousness 50% - Openness 50% - SLUAN - Neutral Good,so/sx,694,SEI,Sanguine-Phlegmatic,FELV,SLUAN,Neutral Good,IS(F),Extraversion 75%,Neuroticism 75%,Conscientiousness 50%,Agreeableness 75%,Openness 50%,"Fi, Se, Ni, Te",2,3,Movies,104,Inside Out (Franchise),TRUE,1132,1132,640,2869,623,72263,Who?,#######,#######,TRUE,TRUE,TRUE,TRUE,https://static1.personalitydatabase.net/2/pdb-images-prod/82af26bd/profile_images/e7cf0f553ebf4e5993416b3ba5d98e1a.png,"Riley Andersen is a main character and location for her emotions of the Disney/Pixar Inside Out franchise. She is the daughter of Bill and Jill Andersen. She is an 11-year-old girl (later 12 in the epilogue as well as Dream Productions and 13 in the sequel) who loves ice hockey. She was uprooted from her happy and simple life in Minnesota, and taken to San Francisco, California, where she experiences various changes in her life. Her emotions (Joy, Sadness, Fear, Disgust, and Anger) help her through this tough time, ensuring her well-being. After reaching puberty, Riley gets a new set of emotions: Anxiety, Envy, Embarrassment, Ennui, and Nostalgia.",pdb_v9_dump_part12.json,415,655
10,Ross Geller,rossgeller,ISTJ 6w5,6w5,ISTJ - 6w5 - sp/sx - 614 - IT(S) - LII - LVFE - Melancholic-Choleric - Neuroticism 100% - RLOEN - Lawful Neutral,sp/sx,614,LII,Melancholic-Choleric,LVFE,RLOEN,Lawful Neutral,IT(S),Extraversion 25%,Neuroticism 100%,Conscientiousness 100%,Agreeableness 50%,Openness 50%,"Si, Te, Fi, Ne",2,2,Television,2,Friends (1994),TRUE,1409,1409,553,2867,410,40999,the nameless,#######,#######,TRUE,TRUE,TRUE,TRUE,https://static1.personalitydatabase.net/2/pdb-images-prod/9233a501/profile_images/e24ffdde57cf4f2a855f9f26eb4ec370.png,"The nerd of the group, Ross is a paleontologist whose wife left him when she realized she was a lesbian. She also turned out to be pregnant, and Ross tries his best to be a good dad to his son, Ben. He's fairly awkward and insecure when it comes to relationships, owing to more than his fair share of bad luck with women. His habit of not trusting something's going to work without his intervention often leads him ruining things because he intervened. Though he can be as neurotic as his sister, Ross is generally also seen as the smartest of the group and has a habit of always being right and correcting the rest of the gang when they are not — whether that's major ethical lapses or minor grammatical mistakes. He loves Rachel, but you knew that already, right?",pdb_v9_dump_part1.json,43,765
190477,Soldier Boy,soldierboy,ESTP 8w7,8w7,ESTP - 8w7 - sp/sx - 863 - ES(T) - SLE - VFEL - Choleric [Dominant] - Extraversion 75% - Neuroticism 50% - Agreeableness 25% - Conscientiousness 50% - Openness 25% - SCOEN - Chaotic Neutral,sp/sx,863,SLE,Choleric [Dominant],VFEL,SCOEN,Chaotic Neutral,ES(T),Extraversion 75%,Neuroticism 50%,Conscientiousness 50%,Agreeableness 25%,Openness 25%,"Se, Ti, Fe, Ni",2,2,Television,4469,The Boys (2019),TRUE,791,791,505,2726,722,2656,[redacted],#######,#######,TRUE,TRUE,TRUE,TRUE,https://static1.personalitydatabase.net/2/pdb-images-prod/681053ba/profile_images/2d64acb38c224909a0de885994694017.png,"Benjamin, better known as simply Soldier Boy or Ben is a major antagonist of the Amazon series The Boys, serving as a mentioned character in Seasons 1 and 2, and one of the two main antagonists (alongside Homelander) of Season 3. He was America's first and greatest superhero before Homelander and the former leader of the superhero team Payback. As a young man, Soldier Boy helped good triumph over evil in World War II. However, it is not made clear how much of that is true, as The Legend claimed that his participation in the war was Vought propaganda. With his superhero team Payback by his side, he was said to have fought for liberty and justice for all until his disappearance during a botched military operation in Nicaragua, with the cover story being that he heroically sacrificed his own life to save America from a nuclear power plant meltdown in 1984. #Jensen Ackles",pdb_v9_dump_part155.json,573,880
761,"Remus ""Moony"" Lupin",remuslupin,INFJ 9w1,9w1,INFJ - 9w1 - sp/so - 952 - IF(N) - EII - LEFV - Melancholic-Phlegmatic - Extraversion 25% - Agreeableness 75% - Conscientiousness 75% - Openness 50% - RCOAI - Neutral Good,sp/so,952,EII,Melancholic-Phlegmatic,LEFV,RCOAI,Neutral Good,IF(N),Extraversion 25%,Neuroticism 50%,Conscientiousness 75%,Agreeableness 75%,Openness 100%,"Ni, Fe, Ti, Se",2,3,Movies,87,Harry Potter (Film Series),TRUE,1281,1281,599,2628,293,7184,Rose Moon,#######,#######,TRUE,TRUE,TRUE,TRUE,https://static1.personalitydatabase.net/2/pdb-images-prod/8ffb293d/profile_images/5847cc69610b41bba51c0cf3ab6cf95f.png,"Professor Remus John Lupin, O.M. (First Class), (10 March 1960–2 May 1998), also known as Moony, was a half-blood wizard and the only son of Lyall and Hope Lupin (née Howell). He was attacked by werewolf Fenrir Greyback when he was a child, a result of Greyback's revenge against Lyall, leaving Remus afflicted with lycanthropy for life. He attended Hogwarts School of Witchcraft and Wizardry from 1971 to 1978 and was sorted into Gryffindor House. During his school years he was one of the Marauders, best friends with Sirius Black, James Potter, and Peter Pettigrew. Remus was compassionate, intelligent, tolerant, levelheaded, peaceful, selfless, brave, kind, and good-natured. Despite having suffered a great deal of prejudice in his life due to his lycanthropy, he managed to retain an ability to see the good in almost everybody and was extremely forgiving. Remus also had an excellent sense of humour. However, unlike his friends, he never partook in bullying.",pdb_v9_dump_part1.json,777,967
3354,Felonius Gru,feloniusgru,INTJ 3w4,3w4,INTJ - 3w4 - sp/sx - 358 - IN(T) - LIE - VLEF - Melancholic-Choleric - Extraversion 50% - Neuroticism 50% - Agreeableness 25% - Conscientiousness 75% - Openness 75% - RCOEI - Chaotic Neutral,sp/sx,358,LIE,Melancholic-Choleric,VLEF,RCOEI,Chaotic Neutral,IN(T),Extraversion 50%,Neuroticism 50%,Conscientiousness 75%,Agreeableness 25%,Openness 75%,"Ni, Te, Fi, Se",2,3,Movies,420,Despicable Me (Franchise),TRUE,1102,1102,494,2547,236,22102,L. Z.,#######,#######,TRUE,TRUE,TRUE,TRUE,https://static1.personalitydatabase.net/2/pdb-images-prod/5cbea2f6/profile_images/f91fdbe3a72145c68cc0933fd66e5e65.png,"Felonius Gru is the main protagonist of the Despicable Me franchise. At first, Gru was a sneaky and somewhat cold-hearted man, who was determined to become the greatest villain in the world. At first he showed a dislike of children being easily irritated by Agnes, Edith and Margo. He was self-centered and in the beginning, as he only adopted the girls so that he could get the shrink ray which he intended to use to shrink the moon so that he could steal it. As time went on, Gru started to enjoy spending time with his three adopted daughters and in the end he grew to genuinely love them, putting aside his dream of stealing the moon and risking his life to rescue them from Vector. He is voiced by #SteveCarell Certified GruTastic™ Character ~ TheOfficialGru on PDB",pdb_v9_dump_part3.json,919,770
11076,Kim Wexler,kimwexler,ESTJ 1w2,1w2,ESTJ - 1w2 - sp/so - 361 - ET(S) - LSE - FVLE - Phlegmatic-Choleric - Extraversion 50% - Neuroticism 25% - Agreeableness 75% - Conscientiousness 75% - Openness 50% - RCOAN - Neutral Good,sp/so,361,LSE,Phlegmatic-Choleric,FVLE,RCOAN,Neutral Good,ET(S),Extraversion 50%,Neuroticism 25%,Conscientiousness 75%,Agreeableness 75%,Openness 50%,"Te, Si, Ne, Fi",2,2,Television,1451,Better Call Saul (2008),TRUE,853,853,531,2495,277,3050,acool200000dollars,#######,#######,TRUE,TRUE,TRUE,TRUE,https://static1.personalitydatabase.net/2/pdb-images-prod/c6fb3681/profile_images/16cb7bf7c09743afaa1d08dc4a296472.png,"Kim is shown to be a highly intelligent, dedicated, caring, formidable and loyal woman who is a highly skilled lawyer. Despite a poor upbringing in Nebraska with a neglectful mother and few opportunities to thrive, Kim was able to get out and make something of herself, becoming one of the best lawyers at HHM as a result. Kim is shown to greatly cherish her work and her ability to help her clients and further the interests of her law firm. She is highly skilled at negotiation and devising legal strategies in order to get her clients the best deals possible, which earns her the praise of many lawyers. Despite poor treatment from her boss Howard Hamlin, Kim initially does not let grudges consume her and keeps her head down and works strongly to dig herself out of problems, showing her fearlessness and independence.",pdb_v9_dump_part11.json,480,823
16956,Carla Roson Caleruega,carlarosoncaleruega,ENTJ 3w4,3w4,ENTJ - 3w4 - sp/so - 361 - ET(N) - LIE - VLFE - Choleric-Phlegmatic - Extraversion 50% - Neuroticism 75% - Agreeableness 50% - Conscientiousness 75% - Openness 50% - SLOEI - Chaotic Neutral,sp/so,361,LIE,Choleric-Phlegmatic,VLFE,SLOEI,Chaotic Neutral,ET(N),Extraversion 50%,Neuroticism 75%,Conscientiousness 75%,Agreeableness 50%,Openness 50%,"Te, Ni, Se, Fi",2,2,Television,2046,Élite (2018),TRUE,823,823,517,2480,644,1380,gabriel_,#######,#######,TRUE,TRUE,TRUE,TRUE,https://static1.personalitydatabase.net/2/pdb-images-prod/a6f4eca0/profile_images/b310c207f1ac441994fdad473419855f.png,"Carla Roson Caleruega is a main character on the Netflix series Elite. Carla is very wealthy thanks to her dad, a very successful businessman. Her mom is a member of the Spanish nobility, the heiress of the Marquesado de Caleruega and owns a vineyard with the same name, meaning that Carla is an aristocrat and a marchioness, the future heiress. She obtained her nickname Marchioness (or La Marquesa / La Marquesita in Spanish) due to this. Carla uses her intelligence and beauty to her advantage. She is very manipulative and uses her body to get what she wants. She is seen as a cold-hearted, prideful and selfish character, who is willing to do anything to put the odds in her favor. However, she is very loyal, especially to Polo and her family. She is not as cold as the front she puts up, since she feels lonely and guilty for what happened to Christian. She has a more vulnerable and soft side of her personality. Portrayed by #EsterExposito",pdb_v9_dump_part16.json,674,948
752,Prince Hans of the Southern Isles,hanswestergaard,ENFJ 3w2,3w2,ENFJ - 3w2 - so/sp - 378 - EF(N) - EIE - VEFL - Sanguine-Choleric - Extraversion 75% - Neuroticism 25% - Agreeableness 50% - Conscientiousness 75% - Openness 75% - SCOEI - Lawful Evil,so/sp,378,EIE,Sanguine-Choleric,VEFL,SCOEI,Lawful Evil,EF(N),Extraversion 75%,Neuroticism 25%,Conscientiousness 75%,Agreeableness 50%,Openness 75%,"Fe, Ni, Se, Ti",2,3,Movies,92,Frozen (Franchise),TRUE,1123,1123,493,2472,456,1035,the nameless,#######,#######,TRUE,TRUE,TRUE,TRUE,https://static1.personalitydatabase.net/2/pdb-images-prod/9b85e33b/profile_images/27324659689b4e0c83d580c90c66b677.png,"Prince Hans Westergaard of the Southern Isles is the main antagonist of Disney's 2013 animated feature film Frozen. As the 13th-born prince of the Southern Isles, Hans was burdened with the inability to ascend his family’s throne. Desperate for power and recognition, he sought to marry Princess Anna of Arendelle with the purpose of usurping the throne of Queen Elsa and taking over as king. Hans is loosely based on the Devil Troll Mirror from the Hans Christian Andersen fairy tale The Snow Queen, while also subverting the ""Prince Charming"" archetype that is common in fairytales with his villainous nature.",pdb_v9_dump_part1.json,763,611
9972,John Wick,johnwick,ISTP 6w5,6w5,ISTP - 6w5 - sp/sx - 693 - IS(T) - SLI - FVEL - Melancholic-Phlegmatic - Extraversion 25% - Neuroticism 50% - Agreeableness 25% - Conscientiousness 75% - Openness 25% - RCOEN - True Neutral,sp/sx,693,SLI,Melancholic-Phlegmatic,FVEL,RCOEN,True Neutral,IS(T),Extraversion 25%,Neuroticism 50%,Conscientiousness 75%,Agreeableness 25%,Openness 25%,"Ti, Se, Ni, Fe",2,3,Movies,1357,John Wick,TRUE,1628,1628,504,2449,602,3235,Wolfsbane,#######,#######,TRUE,TRUE,TRUE,TRUE,https://static1.personalitydatabase.net/2/pdb-images-prod/1fa545b1/profile_images/ae6169b603d04826a1be5528eccbcf21.png,"John Wick, also known as Jonathan Wick (birth name: Jardani Jovonovich (Джарданы Джовонович)) is the titular character and protagonist of the John Wick film series. Over the course of his career, John Wick has earned himself a widespread reputation as one of the world's most dangerous and extremely capable professional assassins. His extraordinary exploits, formidable skill set, lethal precision, and his unwavering focus and determination to complete his tasks have solidified his status as both a legendary and infamous figure within the international criminal underworld, known and feared by many as the Baba Yaga (Баба-Яга) or The Boogeyman.",pdb_v9_dump_part10.json,262,648
303,Neo,neo,INTP 5w4,5w4,INTP - 5w4 - sp/sx - 549 - IT(S) - ILI - LVEF - Melancholic [Dominant] - Extraversion 25% - Neuroticism 50% - Agreeableness 75% - Conscientiousness 50% - Openness 100% - RCOEI - True Neutral,sp/sx,549,ILI,Melancholic [Dominant],LVEF,RCOEI,True Neutral,IT(S),Extraversion 25%,Neuroticism 50%,Conscientiousness 50%,Agreeableness 50%,Openness 100%,"Ti, Ne, Si, Fe",2,3,Movies,35,The Matrix Trilogy,TRUE,1211,1211,579,2352,292,3655,the nameless,#######,#######,TRUE,TRUE,TRUE,TRUE,https://static1.personalitydatabase.net/2/pdb-images-prod/951ee426/profile_images/ba8fe9673e8844528d807225cab712de.png,"Neo (born as Thomas A. Anderson, also known as The One, an anagram for Neo) is a fictional character and the main protagonist in The Matrix franchise. He was portrayed as a cybercriminal and computer programmer by #KeanuReeves in The Matrix Trilogy, as well as having a cameo in The Animatrix short film Kid's Story. Andrew Bowen provided Neo's voice in The Matrix: Path of Neo. In 2008, Neo was selected by Empire as the 68th Greatest Movie Character of All Time. Neo is also an anagram of ""one"", a reference to his destiny of being The One who would bring peace. There are claims that a nightclub in Chicago inspired the name of the character in the Matrix.",pdb_v9_dump_part1.json,204,659
7502,Sam Puckett,sampuckett,ESTP 8w7,8w7,ESTP - 8w7 - sx/so - 873 - ES(T) - VFEL - Choleric [Dominant] - Extraversion 50% - Conscientiousness 0% - Openness 0% - SCUEN - Chaotic Neutral,sx/so,873,SLE,Choleric [Dominant],VFEL,SCUEN,Chaotic Neutral,ES(T),Extraversion 50%,Neuroticism 100%,Conscientiousness 0%,Agreeableness 25%,Openness 0%,"Se, Ti, Fe, Ni",2,2,Television,899,iCarly (2007),TRUE,923,923,547,2292,212,2032,Tito,#######,#######,TRUE,TRUE,TRUE,TRUE,https://static1.personalitydatabase.net/2/pdb-images-prod/3dd7816e/profile_images/8fcb912aeb3e4ca1a3b6079fa67ab8f7.png,"Samantha ""Sam"" Puckett (born April 17) is a main character and the former co-host of iCarly. Sam is portrayed as a tomboyish, sarcastic, aggressive girl, who has no respect for the authority or other people (except Carly, Freddie, Spencer, and Gibby, sometimes). It is possible that her behavior is a way to prevent people from getting close and hurting her. As a result of her behavior, she frequently gets into trouble. She has a butter sock, which is a sock filled with butter that is swung around as a weapon. She has also been arrested four times. On the show, Sam has been mentioned to have been in a juvenile detention center twice. She even has a regular Tuesday appointments with Principal Ted Franklin. Carly mentioned that Sam has a therapist to discuss her issues.",pdb_v9_dump_part7.json,784,776
