id,name,profile_name_searchable,mbti,enneagram,personality_type,instinctual_variant,tritype,socionics,temperament,attitudinal_psyche,sloan,alignment,classic_jungian,big5_extraversion,big5_neuroticism,big5_conscientiousness,big5_agreeableness,big5_openness,functions,property_id,cat_id,category,sub_cat_id,subcategory,category_is_fictional,vote_count,vote_count_mbti,vote_count_enneagram,total_vote_counts,comment_count,watch_count,contributor,contributor_create_date,type_updated_date,is_active,is_approved,allow_voting,allow_commenting,profile_image_url,wiki_description,source_file,source_index,length_of_description,,,,,,,,,,,,,,,,,,,,,,,,
70781,"Félix Fathom ""Argos""",félixgrahamdevanily,INTJ 3w4,3w4,INTJ - 3w4 - sp/sx - 385 - IN(T) - LIE - VLFE - Choleric-Melancholic - Extraversion 25% - Neuroticism 50% - Agreeableness 50% - Conscientiousness 75% - RCOEI - Chaotic Neutral,sp/sx,385,LIE,Choleric-Melancholic,VLFE,RCOEI,Chaotic Neutral,IN(T),Extraversion 25%,Neuroticism 50%,Conscientiousness 75%,Agreeableness 50%,Openness 100%,"Ni, Te, Fi, Se",2,7,Cartoons,849,Miraculous: Tales of Ladybug & Cat Noir (2015),TRUE,1264,1264,445,2471,689,2340,ramana2121,#######,#######,TRUE,TRUE,TRUE,TRUE,https://static1.personalitydatabase.net/2/pdb-images-prod/aee787b8/profile_images/fa8c033a30984bbd8a530e82af55a247.png,"Félix Fathom is the maternal cousin of Adrien Agreste who lives in London, the son of the late American billionaire Colt Fathom and aristocrat Lady Amelie Graham de Vanily and the nephew of Emilie Agreste and Gabriel Agreste. He is first introduced in Season 3 in the episode of the same name. In ""Gabriel Agreste"", when he is convinced that Gabriel Agreste is Shadow Moth, Félix is nearly akumatized. However, the akumatization fails as Félix rejects it and manages to escape. In ""Strikeback"", while diguising as his cousin Adrien, Félix is temporarily given the Dog Miraculous from Ladybug which when is inhabited by Barkk, allows him to transform into the superhero Flairmidable. After being able to capture Ladybug's yo-yo using the power of Fetch, Flairmidable trades all of the miraculouses in the yo-yo including Dog Miraculous and his uncle's ring for the Peacock Miraculous, thus becoming Duusu's new owner.",pdb_v9_dump_part60.json,809,916,,,,,,,,,,,,,,,,,,,,,,,,
6047,Maggie Rhee,maggierhee,ENTJ 6w7,6w7,ENTJ - 6w7 - so/sx - 612 - ESI - VFLE - Choleric-Sanguine - Neuroticism 75% - SCOEN - True Neutral,so/sx,612,ESI,Choleric-Sanguine,VFLE,SCOEN,True Neutral,ET(N),Extraversion 50%,Neuroticism 50%,Conscientiousness 25%,Agreeableness 100%,Openness 25%,"Te, Ni, Se, Fi",2,2,Television,236,The Walking Dead (2010),TRUE,909,909,266,1510,264,1191,Elisa,#######,#######,TRUE,TRUE,TRUE,TRUE,https://static1.personalitydatabase.net/2/pdb-images-prod/f75b85db/profile_images/8db0d710c80b4ce48c7bd3c30900d5a5.png,"Maggie Rhee (née Greene) is a main character and a survivor of the outbreak in AMC's The Walking Dead. She is the daughter of Hershel and Josephine Greene, stepdaughter of Annette Greene, older half-sister of Beth, younger stepsister of Shawn, and the last known surviving member of the Greene family. She is the widow of Glenn Rhee and the mother of Hershel. She is the former leader of the Hilltop Colony, and was one of the four co-leaders of the Militia, along with Rick Grimes, Ezekiel, and Cyndie before its disbanding. At some point after Rick's assumed death, she left the Hilltop alongside her son to join Georgie's group and search for new communities. Several years later, Maggie returned to Virginia with her son after a dangerous group attacked her and her people's home, only to find out that Glenn's murderer (Negan) is out and living among her friends and that the dangerous group has followed her back to Virginia. #TWD #TheWalkingDead #LaurenCohan #MaggieRhee #MaggieGreene",pdb_v9_dump_part6.json,950,991,,,,,,,,,,,,,,,,,,,,,,,,
8768,"Benjamin ""Ben"" Tennyson",bentennyson,ESTP 7w8,7w8,ESTP - 7w8 - sp/so - 738 - ES(F) - SEE - VFLE - Choleric-Sanguine - Extraversion 75% - Neuroticism 25% - Agreeableness 25% - Conscientiousness 25% - Openness 75% - SCUEI - Chaotic Good,sp/so,738,SEE,Choleric-Sanguine,VFLE,SCUEI,Chaotic Good,ES(F),Extraversion 75%,Neuroticism 25%,Conscientiousness 25%,Agreeableness 25%,Openness 75%,"Se, Ti, Fe, Ni",2,7,Cartoons,1014,Ben 10 (2005),TRUE,661,661,186,1030,120,820,Carol D.,#######,#######,TRUE,TRUE,TRUE,TRUE,https://static1.personalitydatabase.net/2/pdb-images-prod/8c252cea/profile_images/5034b7af32af40729c75bd6df8707eaa.png,"Benjamin Tennyson was once an ordinary, thrill seeking, and sometimes brash, ten year old boy. But after starting a cross summer country road trip with his grandpa Max and his cousin Gwen, Ben would find himself crossing paths with an alien meteor, leaving a mysterious watch like device known as the Omnitrix permanently attached to his left wrist. A powerful piece of alien technology, the Omnitrix allows Ben to select and transform into a library of alien lifeforms by merging his own DNA with that of the genetic samples of the aliens stored on the watch, giving Ben superhuman abilities. While often childish, Ben’s resourcefulness and tenacity to help others would lead him to conquer nearly impossible odds against the many forces of evil threatening Earth upon the arrival of the Omnitrix. #TaraStrong",pdb_v9_dump_part8.json,974,810,,,,,,,,,,,,,,,,,,,,,,,,
4808,Ramsay Bolton,ramsaybolton,ESTP 8w7,8w7,ESTP - 8w7 - sx/so - 873 - ES(T) - SLE - VFLE - Sanguine-Choleric - Extraversion 100% - Neuroticism 0% - Agreeableness 0% - Conscientiousness 25% - Openness 25% - SCUEN - Chaotic Evil,sx/so,873,SLE,Sanguine-Choleric,VFLE,SCUEN,Chaotic Evil,ES(T),Extraversion 100%,Neuroticism 0%,Conscientiousness 25%,Agreeableness 0%,Openness 25%,"Se, Ti, Fe, Ni",2,2,Television,48,Game of Thrones (2011),TRUE,626,626,341,1478,134,432,the nameless,#######,#######,TRUE,TRUE,TRUE,TRUE,https://static1.personalitydatabase.net/2/pdb-images-prod/5f51faba/profile_images/4632390558a9493a896421b02129d846.png,"Ramsay Bolton, née Snow, was a son of Roose Bolton, and shortly Lord of Winterfell & Lord of the Dreadfort after having violently usurped his father. He tortured and gelded Theon Greyjoy, raped Sansa Stark, committed patricide by stabbing his father in the heart, and killed Rickon Stark & Wun Wun during the Battle of Bastards. Ramsay is a genuine sociopath. He seems to be the personification of pure evil, with no redeemable features. He is dishonorable, manipulative, ruthless, extremely sadistic, sexually depraved, wild, and completely capable of committing unspeakable atrocities without remorse, simply for pure amusement. Ramsay fully admits—and indeed revels in the fact—that he tortures and kills innocent people for no reason whatsoever, and that they did not deserve what he did to them. He simply enjoys inflicting horrific torture on people. #CompleteMonster #HateSink",pdb_v9_dump_part5.json,573,883,,,,,,,,,,,,,,,,,,,,,,,,
2928,Jasmine,jasmine,ESFP 8w7,8w7,ESFP - 8w7 - sx/so - 872 - ES(F) - SEE - VFLE - Choleric-Phlegmatic - Extraversion 100% - Neuroticism 50% - Agreeableness 50% - Conscientiousness 25% - Openness 75% - SLUEI - Neutral Good,sx/so,872,SEE,Choleric-Phlegmatic,VFLE,SLUEI,Neutral Good,ES(F),Extraversion 100%,Neuroticism 50%,Conscientiousness 25%,Agreeableness 50%,Openness 75%,"Se, Fi, Te, Ni",2,3,Movies,374,Aladdin (1992),TRUE,869,869,382,1876,188,1790,Katherine Lester,#######,#######,TRUE,TRUE,TRUE,TRUE,https://static1.personalitydatabase.net/2/pdb-images-prod/3fde3cdc/profile_images/1000a907bcfc462f95384c6436c8cded.png,"Princess Jasmine is the deuteragonist of Disney's 1992 animated feature film Aladdin. She is the independent and rebellious princess of Agrabah, a Middle Eastern kingdom ruled by her father, the Sultan. As the future Sultana, Jasmine has a strong sense of obligation to her kingdom. Because of outdated laws, however, she was forbidden to go beyond the palace walls and was forced to follow unjust practices. Refusing to be treated like a sheltered object, Jasmine desperately aspires to diverge from her societal confines, to live a life where she is free to make her own choices. Jasmine is loosely based on the character of Princess Badroulbadour from the Aladdin fairy tale featured in the One Thousand and One Nights storybook collection. She is also the sixth official member of the Disney Princess line-up, and the first to be of non-Caucasian descent.",pdb_v9_dump_part3.json,597,859,,,,,,,,,,,,,,,,,,,,,,,,
5513,Judge Claude Frollo,judgeclaudefrollo,INTJ 1w2,1w2,INTJ - 1w2 - sx/so - 163 - ET(S) - LSI - VLFE - Choleric-Melancholic - Extraversion 50% - Neuroticism 75% - Agreeableness 0% - Conscientiousness 100% - Openness 25% - RLOEN - Lawful Evil,sx/so,163,LSI,Choleric-Melancholic,VLFE,RLOEN,Lawful Evil,ET(S),Extraversion 50%,Neuroticism 75%,Conscientiousness 100%,Agreeableness 0%,Openness 25%,"Ni, Te, Fi, Se",2,3,Movies,718,The Hunchback of Notre Dame (1996),TRUE,1291,1291,380,1905,454,3163,Squib,#######,#######,TRUE,TRUE,TRUE,TRUE,https://static1.personalitydatabase.net/2/pdb-images-prod/65b5aebb/profile_images/ce5de370af2a46be94df383acab6fac7.png,"Judge Claude Frollo is the main antagonist of Disney's 1996 animated feature film The Hunchback of Notre Dame. He is a powerful Parisian justice minister, who, after a series of sensitive circumstances, becomes the begrudged caretaker of the deformed Quasimodo. Aside from his political authority, Frollo is a religious zealot with intolerance for sinners. He believes the Romani people to be the most heinous of all malefactors, and therefore dedicates twenty years of his life to eradicating them. Frollo's self-imposed mission drives him to perform inhumane acts of violence, all the while using his loyalty to God as justification. With a majority of the film's heavy thematic elements being directly tied to Frollo's story arc �?such as religion, lust, and genocide �?he is widely considered to be amongst the most complex and darkest Disney villains of all time.",pdb_v9_dump_part5.json,935,868,,,,,,,,,,,,,,,,,,,,,,,,
2589,Peter Parker / Spider-Man,"peterparker""spiderman""",ENFP 6w7,6w7,ENFP - 6w7 - so/sx - 629 - EN(F) - IEE - ELFV - Sanguine [Dominant] - Extraversion 75% - Neuroticism 50% - Agreeableness 75% - Conscientiousness 25% - Openness 100% - SLUAI - Neutral Good,so/sx,629,IEE,Sanguine [Dominant],ELFV,SLUAI,Neutral Good,EN(F),Extraversion 75%,Neuroticism 50%,Conscientiousness 25%,Agreeableness 75%,Openness 100%,"Ne, Fi, Te, Si",2,27,Superheroes,39,MCU: The Heroes,TRUE,5461,5461,1234,5790,990,15595,the nameless,#######,#######,TRUE,TRUE,TRUE,TRUE,https://static1.personalitydatabase.net/2/pdb-images-prod/6566eded/profile_images/14f6540687b5467f9c0b292dd5f0e4b2.png,"After getting bitten by a scientifically-altered spider, Peter Parker gained the ability to crawl on walls and sense nearby threats, along with enhanced strength and agility. When his uncle was killed by a criminal, he learned that With Great Power Comes Great Responsibility and vowed to use his abilities to protect others as the superhero Spider-Man... All of which has happened offscreen by the time we actually meet him. A few months later, Spider-Man was drafted into a conflict between the Avengers by Iron Man, gaining a new suit in the process. While seeking to prove that he's good enough to join the Avengers, Peter was able to take on a smaller threat on his own, proving his worth. However, Peter ultimately turned down the offer to become an Avenger, realizing that he can do more good in New York City, an area that the Avengers can't usually cover. But when an alien invasion threatens New York once again, Spider-Man is officially inducted into their ranks by Iron Man.",pdb_v9_dump_part3.json,616,986,,,,,,,,,,,,,,,,,,,,,,,,
456028,"Marc Spector ""Moon Knight""",marcspectormoonknight,ISTP 6w5,6w5,ISTP - 6w5 - sx/so - 683 - IT(S) - LSI - LFVE - Choleric [Dominant] - Extraversion 25% - Neuroticism 50% - Agreeableness 25% - Conscientiousness 50% - Openness 50% - RLOEN - True Neutral,sx/so,683,LSI,Choleric [Dominant],LFVE,RLOEN,True Neutral,IT(S),Extraversion 25%,Neuroticism 50%,Conscientiousness 50%,Agreeableness 25%,Openness 50%,"Ti, Se, Ni, Fe",2,27,Superheroes,39,MCU: The Heroes,TRUE,1018,1018,227,1177,129,10284,the nameless,#######,#######,TRUE,TRUE,TRUE,TRUE,https://static1.personalitydatabase.net/2/pdb-images-prod/b6f66e74/profile_images/211e25f91a3a4dc599cfaf19511a58bd.png,"Marc Spector is the co-protagonist of the series (along with his Disassociative Identity Disorder (DID)-induced second personality Steven Grant). Marc is a former US Marine, who gets kicked out of the army due to his mental health issues, ending up as a freelance mercenary, in the process. He projects a hard, tough and no-nonsense exterior outside, coming across as pretty violent and short-fused. Underneath such an exterior however, lies an extremely traumatized and broken man, who feels remorseful and guilty for a childhood accident that caused the death of his younger brother. After his brother's death, his mother was unable to cope with the loss and thus, lashed out against Marc, becoming increasingly abusive towards him, as her mental sanity slipped by. This abuse made him develop DID, creating the alter Steven Grant (and Jake Lockley, whom he is unaware of). He became Khonshu's Avatar, after a near-death experience, reluctantly serving him ever since.",pdb_v9_dump_part372.json,138,970,,,,,,,,,,,,,,,,,,,,,,,,
518720,Usagi,Usagi,ESTP 7w8,7w8,ESTP - 7w8 - sp/so - 783 - EN(T) - ILE - VFLE - Sanguine [Dominant] - Extraversion 100% - Neuroticism 0% - Agreeableness 50% - Conscientiousness 0% - SCUAI - Chaotic Good,sp/so,783,ILE,Sanguine [Dominant],VFLE,SCUAI,Chaotic Good,EN(T),Extraversion 100%,Neuroticism 0%,Conscientiousness 0%,Agreeableness 50%,Openness 50%,"Se, Ti, Fe, Ni",2,9,Comics,32103,Chiikawa (Something Small and Cute),TRUE,659,659,208,1229,141,658,K40,#######,#######,TRUE,TRUE,TRUE,TRUE,https://static1.personalitydatabase.net/2/pdb-images-prod/45c174a2/profile_images/1d611301538342a1b3a1ee4dde8a85b6.png,"A rabbit character born on January 22, 2019, and a friend of Chiikawa. He's perpetually energetic and carefree, occasionally taking on a mischievous role. Despite his antics, he stands by Chiikawa and Hachiware, offering help and support when they're in need. Surprisingly observant, he can see through the true natures of Momonga and others. He's skilled at playing the guitar. Although he doesn't speak, he communicates with peculiar noises like ""yaha,"" ""lulu lulu,"" ""huh?"" and ""ulalalalalala."" He has a hearty appetite and a fondness for food. When battling monsters, he wields a trick stick that explodes at both ends, complete with a self-portrait drawn in a magic pen. He has reached the third grade of the Pulling Weeds Test. His debut wasn't in this series but in the announcement cartoon for ""MOGUMOGU Tabe-aruki Kuma."" In a collaboration cartoon with FamilyMart, he humorously greeted with ""irasshaimase (welcome)"" as ""Shaaah-ulalalasseh,"" despite typically not using meaningful words.",pdb_v9_dump_part426.json,132,995,,,,,,,,,,,,,,,,,,,,,,,,
89837,"Sun Wukong, Monkey King, Monkey",monkeykingsunwukong,ENTP 7w8,7w8,ENTP - 7w8 - sx/so - 783 - EN(T) - ILE - VFLE - Choleric-Sanguine - Extraversion 100% - Neuroticism 75% - Agreeableness 50% - Conscientiousness 25% - Openness 100% - SLUEI - Chaotic Neutral,sx/so,783,ILE,Choleric-Sanguine,VFLE,SLUEI,Chaotic Neutral,EN(T),Extraversion 100%,Neuroticism 75%,Conscientiousness 25%,Agreeableness 50%,Openness 100%,"Ne, Ti, Fe, Si",2,12,Literature,6965,Journey to the West ( Wu Cheng'en ),TRUE,561,561,157,1295,272,474,Writing2020,2020/1/22 22:44,2025/8/25 4:33,TRUE,TRUE,TRUE,TRUE,https://static1.personalitydatabase.net/2/pdb-images-prod/a9601387/profile_images/13e7566438bc4e0593c1fca6bf49a488.png,"Sun Wukong (Chinese: �����), also known as the Monkey King, is a literary and religious figure best known as one of the main characters in the 16th-century Chinese novel Journey to the West. In the novel, Sun Wukong is a monkey born from a stone who acquires supernatural powers through Taoist practices. After rebelling against heaven, he is imprisoned under a mountain by the Buddha. Five hundred years later, he accompanies the monk Tang Sanzang riding on the White Dragon Horse and two other disciples, Zhu Bajie and Sha Wujing, on a journey to obtain Buddhist sutras, known as the West or Western Paradise, where Buddha and his followers dwell.",pdb_v9_dump_part76.json,698,,,,,,,,,,,,,,,,,,,,,,,,,
7,Chandler Bing,chandlerbing,ENTP 6w7,6w7,ENTP - 6w7 - so/sp - 639 - EN(T) - ILE - FLEV - Melancholic-Sanguine - Neuroticism 75% - Agreeableness 75% - Conscientiousness 50% - Openness 75% - SLUAI - Neutral Good,so/sp,639,ILE,Melancholic-Sanguine,FLEV,SLUAI,Neutral Good,EN(T),Extraversion 75%,Neuroticism 75%,Conscientiousness 50%,Agreeableness 75%,Openness 50%,"Ne, Ti, Fe, Si",2,2,Television,2,Friends (1994),TRUE,2435,2435,889,4479,1019,44805,the nameless,2015/5/21 21:44,2025/12/23 4:04,TRUE,TRUE,TRUE,TRUE,https://static1.personalitydatabase.net/2/pdb-images-prod/fff0f0f1/profile_images/23067013143e4b7f9544fd3c5188dd1e.png,"The group's deadpan snarker. A friend of Ross' from college, the friends never quite understand the nature of his job in the business world, which he hates, but it's led him to be generally the most financially successful of the group, to the point that he essentially supports Joey in the early years. His dad runs an all-male burlesque called ""Viva Las Gaygas"". His mom is a world-famous erotic romance novelist. Neither fact sits well with him and has led to a severe fear of commitment and a lifetime of over-compensating for his insecurities with a a sharp, acerbic sense of humor. Originally best defined through his heterosexual life-partners relationship with Joey, he eventually falls in love with Monica, and they build a rare stable relationship within the gang.",pdb_v9_dump_part1.json,106,,,,,,,,,,,,,,,,,,,,,,,,,
